"","key","value","Sex","Treatment","Age","Setting","ValueType"
"411","X5",0.251451324648125,1,"MHLD",46,"APC","Activities"
"412","X5",0.250780029664922,1,"MHLD",47,"APC","Activities"
"413","X5",0.250129380000133,1,"MHLD",48,"APC","Activities"
"414","X5",0.249520008907156,1,"MHLD",49,"APC","Activities"
"415","X5",0.248972549639389,1,"MHLD",50,"APC","Activities"
"416","X5",0.248507635450229,1,"MHLD",51,"APC","Activities"
"417","X5",0.248145899593073,1,"MHLD",52,"APC","Activities"
"418","X5",0.247907975321318,1,"MHLD",53,"APC","Activities"
"419","X5",0.247814495888362,1,"MHLD",54,"APC","Activities"
"420","X5",0.247877898334311,1,"MHLD",55,"APC","Activities"
"421","X5",0.2480778348461,1,"MHLD",56,"APC","Activities"
"422","X5",0.248385761397374,1,"MHLD",57,"APC","Activities"
"423","X5",0.248773133961777,1,"MHLD",58,"APC","Activities"
"424","X5",0.249211408512953,1,"MHLD",59,"APC","Activities"
"425","X5",0.249672041024547,1,"MHLD",60,"APC","Activities"
"426","X5",0.250126487470203,1,"MHLD",61,"APC","Activities"
"427","X5",0.250546203823565,1,"MHLD",62,"APC","Activities"
"428","X5",0.250902646058277,1,"MHLD",63,"APC","Activities"
"429","X5",0.251167270147984,1,"MHLD",64,"APC","Activities"
"430","X5",0.251318769660446,1,"MHLD",65,"APC","Activities"
"431","X5",0.251364788539889,1,"MHLD",66,"APC","Activities"
"432","X5",0.251320208324656,1,"MHLD",67,"APC","Activities"
"433","X5",0.251199910553088,1,"MHLD",68,"APC","Activities"
"434","X5",0.25101877676353,1,"MHLD",69,"APC","Activities"
"435","X5",0.250791688494322,1,"MHLD",70,"APC","Activities"
"436","X5",0.250533527283807,1,"MHLD",71,"APC","Activities"
"437","X5",0.250259174670327,1,"MHLD",72,"APC","Activities"
"438","X5",0.249983512192226,1,"MHLD",73,"APC","Activities"
